R package version: 0.0-43
Treatment: 30
Medium: SDM_rhlk_CTGNH
Screen ID: QFA0051
Screen name: cdc13-1_exo1D
Libraries: SDLV2_384
Client: DAL
User: GNG
PI: DAL
Date: 2011/01/11
Fitness definition: MDRMDP
Condition: SDM_rhlk_CTGNH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	78.032338811661	75.3651910878895	101.467706660962	4	5.0365590103999
YAL004W	YAL004W	59.1026270966137	61.5562589120836	393.112353876672	4	9.91353057538877
SSA1	YAL005C	56.7512969308737	57.8721312847319	460.719829986232	4	10.7321925763824
ERP2	YAL007C	43.7535394211235	53.4202890342056	521.344134540264	4	11.4164807902902
FUN14	YAL008W	57.9169330860639	58.3692391950867	530.750067352648	4	11.5190067643943
MDM10	YAL010C	38.1722547468573	39.9418243135636	24.5894711465632	4	2.4793885912944
SWC3	YAL011W	44.8112460033044	42.2294902134777	251.557221014097	4	7.93027775386992
DEP1	YAL013W	0	0	0	4	0
SYN8	YAL014C	46.93933714184	46.5157671737407	116.948556957541	4	5.40713780473414
NTG1	YAL015C	33.773028136072	38.4439728395566	297.879475404688	4	8.62959262370896
PSK1	YAL017W	42.0840047493317	45.0221033818162	47.7460145204516	4	3.45492454767292
LDS1	YAL018C	57.5622175238394	52.5043224233149	255.455993055989	4	7.99149537095512
FUN30	YAL019W	52.5740257815814	50.5813222395214	118.547091583607	4	5.44396665088075
ATS1	YAL020C	37.2805728942007	37.747648493938	457.145141931795	4	10.690476391768
FUN26	YAL022C	57.5216724324027	55.7623339269343	413.20915248338	4	10.1637733210085
PMT2	YAL023C	56.6231167063038	49.7972807027213	605.011790083744	4	12.2984937094319
LTE1	YAL024C	15.8684403789702	13.7378308597204	95.9407674690566	4	4.89746790364819
DRS2	YAL026C	56.1198660074246	67.7877382639299	1049.76551197024	4	16.2000425305788
SAW1	YAL027W	46.7492148872825	36.2374200456588	600.412497643312	4	12.2516580270112
FRT2	YAL028W	42.6034279607375	43.480902744987	219.036593027121	4	7.39994244955866
MYO4	YAL029C	38.6011003478288	37.2655883694786	184.119004001119	4	6.78452290144854
SNC1	YAL030W	51.4386397072657	50.2744103799239	411.856459834269	4	10.1471234819809
GIP4	YAL031C	46.9733827579804	37.8790952804015	720.153913993176	4	13.4178417973344
FUN19	YAL034C	52.9056785555863	41.0697790182566	772.06899502113	4	13.8930647718667
RBG1	YAL036C	34.2329927549705	35.6525017729825	447.902566867153	4	10.5818543609704
YAL037W	YAL037W	51.4317713832097	55.3925794753807	1301.48267669803	4	18.0380339608979
CLN3	YAL040C	22.1453146656411	22.7890308462715	382.838274038358	4	9.78312672460035
ERV46	YAL042W	48.1758033475521	50.5971393422019	134.318769804171	4	5.79479874120255
YAL043C-A	YAL043C-A	37.4518809435056	43.4948431819011	620.450713530348	4	12.4544240486097
YAL045C	YAL045C	46.9416868485767	42.9895550272888	425.499922287137	4	10.3138247305151
AIM1	YAL046C	37.7852591023968	34.2734520814663	159.91576672081	4	6.32289029481
GEM1	YAL048C	53.5372628269828	53.9689850482675	7.0309299306879	4	1.32579503795722
AIM2	YAL049C	62.4846546414098	62.6582754453104	278.068461147733	4	8.33769244377203
OAF1	YAL051W	41.3685263597084	39.3758311532822	390.953870271982	4	9.88627672928466
FLC2	YAL053W	49.3573306065017	46.0064056681147	478.833108856095	4	10.941127785289
ACS1	YAL054C	37.8212447704807	41.9534887651348	127.722257676333	4	5.65071362033888
PEX22	YAL055W	43.6105337420859	45.0544869974753	909.004629981411	4	15.0748518233299
GPB2	YAL056W	24.4867052580477	33.2088185364263	418.806411317352	4	10.2323801155615
YAL058C-A	YAL058C-A	60.4962827375474	63.8045507000957	3070.07395029465	4	27.7041240174394
CNE1	YAL058W	53.7472125166041	61.9394281552581	594.097094657792	4	12.1870535267737
ECM1	YAL059W	46.4207192781153	48.1340785605994	371.733291539269	4	9.64019309375167
BDH1	YAL060W	43.3511392739399	38.2681567680924	1012.0109103856	4	15.906059461614
BDH2	YAL061W	40.9715857170848	48.4985775913441	381.026626176584	4	9.75995166710092
GDH3	YAL062W	42.1961548484715	35.6451509166516	228.219121100669	4	7.5534614763807
TDA8	YAL064C-A	43.2584485172472	46.5993349030505	758.417772285001	4	13.7696929185531
YAL065C	YAL065C	42.7088457127344	43.6194814231054	246.365097252393	4	7.84801085072506
YAL066W	YAL066W	47.7977242779978	50.2628404798104	271.659394867929	4	8.24104657898391
SEO1	YAL067C	36.4345343106593	35.92217298245	325.246063649224	4	9.01728983188995
PAU8	YAL068C	45.5406150706867	40.7744706331574	164.429093241128	4	6.41149540359204
ERP1	YAR002C-A	58.796983990075	71.1276239325083	1254.36239726392	4	17.7084894701942
NUP60	YAR002W	22.4725557937954	19.6311791198609	243.728410231895	4	7.80590177737164
SWD1	YAR003W	33.3546534402396	30.7280720788153	145.818171418993	4	6.03775975463981
BUD14	YAR014C	67.1655438675892	62.3450716901285	261.663433243896	4	8.08800706669906
ADE1	YAR015W	45.4340018464711	53.6166657235571	457.859834001469	4	10.6988297724736
KIN3	YAR018C	93.7277201613736	95.0173776781977	740.178427409614	4	13.6031101904088
PAU7	YAR020C	26.6897350943185	25.1003563811002	450.692975785553	4	10.6147653740621
YAR023C	YAR023C	39.2631602456407	44.8348590174899	334.123771013227	4	9.13952639655396
UIP3	YAR027W	35.3985841114704	41.7545229958902	523.034735856845	4	11.4349763429668
YAR028W	YAR028W	38.322520748165	43.5184865989446	513.392150576031	4	11.329079293747
YAR029W	YAR029W	58.1735831393544	54.6017342562651	425.689883400936	4	10.3161267368249
YAR030C	YAR030C	38.3747358526617	41.9017450848218	358.177827282797	4	9.46279328849042
PRM9	YAR031W	33.0898504321438	36.8247888193295	235.832775032157	4	7.6784239110666
YAT1	YAR035W	30.1523943032495	31.6560217536982	211.380458433781	4	7.26946453381851
YAR037W	YAR037W	50.0177942947961	52.8782120710755	301.975803222926	4	8.68872549950403
YAR040C	YAR040C	26.6110103448699	23.2370848116322	302.670882186081	4	8.69871947740127
SWH1	YAR042W	29.7341893153758	38.602941507558	633.270924002606	4	12.5824374030095
YAR043C	YAR043C	43.2601648876132	46.8039648021697	449.462185989599	4	10.6002616240072
OSH1	YAR044W	32.2620930575793	33.0160404460498	791.889048023914	4	14.0702616182493
YAR047C	YAR047C	42.0239972861852	52.4181871721424	655.35449869392	4	12.7999462761951
