R package version: 0.0-43
Treatment: 27
Medium: SDM_rhlk_CTGH
Screen ID: QFA0140
Screen name: cdc13-1
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2009/11/16
Fitness definition: nAUC
Condition: SDM_rhlk_CTGH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.175987048043455	0.194931627476115	0.00185349191643104	8	0.0152212512479717
YAL004W	YAL004W	0.0595394519290535	0.0689417594607444	0.00145544889484469	8	0.0134881841570905
SSA1	YAL005C	0.0627186050568534	0.0710406754503426	0.00166553740955647	8	0.014428866074455
ERP2	YAL007C	0.0342170033403894	0.047904185964493	0.000753023973304345	8	0.00970195839318244
FUN14	YAL008W	0.026903611218167	0.0470084043740666	0.000947600167755787	8	0.0108834746735348
MDM10	YAL010C	0.0339385005425192	0.0514539459452881	0.00184520734146536	8	0.0151871958466061
SWC3	YAL011W	0.0334173881899903	0.0442106884500547	0.00057766494969716	8	0.00849753603770793
DEP1	YAL013W	0.020491556447079	0.0209701210598113	9.37795327815349e-06	8	0.00108270224889818
SYN8	YAL014C	0.0465371533080458	0.0523109841177119	0.000773204440098852	8	0.00983110141400019
NTG1	YAL015C	0.0383965824539669	0.0486585647341017	0.000655437988004727	8	0.0090515053168294
PSK1	YAL017W	0.0479464922809732	0.053075100370779	0.00083256933289276	8	0.0102015276606788
LDS1	YAL018C	0.0416663766097125	0.0473263419896374	0.000522222346334693	8	0.00807946738911895
FUN30	YAL019W	0.0473041964138159	0.0533136198003467	0.000959214352938725	8	0.0109499677678677
ATS1	YAL020C	0.027908255244003	0.0333837929452971	0.000288319867530925	8	0.00600333102880107
FUN26	YAL022C	0.0430808993897873	0.0438594923931245	0.000429809352492441	8	0.00732981371260928
PMT2	YAL023C	0.0420822394637107	0.051593649174211	0.000410764532196032	8	0.00716558207855468
LTE1	YAL024C	0.0181859735018665	0.0187137756059185	1.85691640413544e-06	8	0.000481782679760211
DRS2	YAL026C	0.0655005766870642	0.0630482272557717	0.000408290675863715	8	0.00714397189824851
SAW1	YAL027W	0.04858299491722	0.0536642708941035	0.000751133864094503	8	0.00968977466259215
FRT2	YAL028W	0.0305343126569769	0.0430341735383927	0.000771627735076231	8	0.00982107259338454
MYO4	YAL029C	0.0326509714726811	0.0437352514045193	0.00050422480465455	8	0.00793902390611206
SNC1	YAL030W	0.0346450063372541	0.0434265794134361	0.000566968476196529	8	0.00841849508668658
GIP4	YAL031C	0.0345778695992128	0.0443153339055854	0.000569128499095612	8	0.00843451613235469
FUN19	YAL034C	0.0338571575971911	0.045610485205264	0.000825230328895026	8	0.0101564654832219
RBG1	YAL036C	0.0301956670211703	0.0371568783601413	0.000324110491607689	8	0.00636504606825129
YAL037W	YAL037W	0.0349030982029492	0.0477532256022343	0.000899212856153539	8	0.0106019624135908
CLN3	YAL040C	0.0361690958048594	0.0424935493444695	0.00059689898452021	8	0.00863784539483234
ERV46	YAL042W	0.0310397643697522	0.044029936267826	0.000566568514455074	8	0.00841552519495273
YAL043C-A	YAL043C-A	0.0358866572558009	0.0492109479935533	0.000807652973042113	8	0.0100477172347884
YAL045C	YAL045C	0.0305997742846806	0.0370106151349182	0.000265784339996998	8	0.00576394331162484
AIM1	YAL046C	0.024540407252076	0.0277077848020349	6.94489761388083e-05	8	0.00294637438513014
GEM1	YAL048C	0.0505669286316255	0.0574479492902104	0.000847922563874179	8	0.010295160051416
AIM2	YAL049C	0.0318924380932744	0.0408403866029379	0.00046645056095981	8	0.00763585752355138
OAF1	YAL051W	0.0470085951806984	0.0510333138714504	0.000650872514945851	8	0.00901992596245841
FLC2	YAL053W	0.0324969297853788	0.0461563531821716	0.000690831878046199	8	0.00929268447520817
ACS1	YAL054C	0.036685305791595	0.047957708131205	0.000852095846422278	8	0.0103204641757425
PEX22	YAL055W	0.0594836798435475	0.0650775004004832	0.00189660748660325	8	0.015397270401776
GPB2	YAL056W	0.0248271133077384	0.0317365366501097	0.000301691267716249	8	0.00614096152605854
