R package version: 0.0-43
Treatment: 27
Medium: SDM_rhk_CTGN
Screen ID: QFA0141
Screen name: ura3
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2010/01/18
Fitness definition: nAUC
Condition: SDM_rhk_CTGN
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.171229643974278	0.176904064442264	0.000605922348820479	8	0.00870288995693729
YAL004W	YAL004W	0.236568078396073	0.248447237645669	0.00140442465629958	8	0.0132496446004203
SSA1	YAL005C	0.189789426705645	0.193316264772222	0.000275086129221882	8	0.005863937768491
ERP2	YAL007C	0.240866056278428	0.243372160952487	0.000340631075247373	8	0.00652524975812586
FUN14	YAL008W	0.23074821654672	0.229491078588696	0.000544662023546003	8	0.00825122735980838
MDM10	YAL010C	0.0401249689304467	0.0654190891308135	0.00229850411433543	8	0.0169503101532665
SWC3	YAL011W	0.185381764516046	0.179166788275183	0.000817373096943121	8	0.0101079986702557
DEP1	YAL013W	0.145240763728874	0.145291602598655	0.00020065596405185	8	0.00500819283838804
SYN8	YAL014C	0.220796847007619	0.232957526120795	0.000995329905885875	8	0.011154202716274
NTG1	YAL015C	0.211358394164733	0.213254799837609	0.000815113085039422	8	0.0100940148419708
PSK1	YAL017W	0.217449959882956	0.231533885756217	0.000613109229211454	8	0.0087543505556627
LDS1	YAL018C	0.235529731896789	0.241248309306425	0.000399907414866984	8	0.00707024941981349
FUN30	YAL019W	0.233698425174089	0.233993051116398	0.000999006401058086	8	0.0111747841201636
ATS1	YAL020C	0.181873189704078	0.189783462151176	0.00256156621012938	8	0.0178940150962877
FUN26	YAL022C	0.232843724020451	0.232823101116469	0.000472306726846639	8	0.0076836411196665
PMT2	YAL023C	0.234480652926054	0.2324575789085	0.000725057854507386	8	0.00952009620820206
LTE1	YAL024C	0.199125950332728	0.192393023540189	0.000661449287223762	8	0.00909291817311528
DRS2	YAL026C	0.0796825094092156	0.0764815334353264	0.00103135732740479	8	0.0113542796304124
SAW1	YAL027W	0.234430944769243	0.234230956124912	0.00110368663733558	8	0.011745672806057
FRT2	YAL028W	0.219644161065929	0.219183065800603	0.000632850604853296	8	0.00889417368880673
MYO4	YAL029C	0.231524444730802	0.231114959330546	0.000526469142300184	8	0.00811225263336411
SNC1	YAL030W	0.231004885944198	0.233429694239703	0.000375169280396717	8	0.00684807710599038
GIP4	YAL031C	0.228405680382269	0.234319093631492	0.00060221901411358	8	0.00867625361340928
FUN19	YAL034C	0.234642673413677	0.234363880606996	0.000447615649527786	8	0.00748010402273747
RBG1	YAL036C	0.21909418480962	0.223886846158998	0.000302954689786509	8	0.00615380664494048
YAL037W	YAL037W	0.241037276748786	0.240927469463273	0.000966735175723229	8	0.0109928111493559
CLN3	YAL040C	0.220204176010587	0.222552463140484	0.000900585471095429	8	0.0106100510784316
ERV46	YAL042W	0.206682748953061	0.216557097523844	0.0021671271862479	8	0.0164587635708454
YAL043C-A	YAL043C-A	0.218009561243839	0.232192204119506	0.00158863667418978	8	0.0140918268607631
YAL045C	YAL045C	0.234108178737537	0.228078844354708	0.000454330559979015	8	0.00753600159218248
AIM1	YAL046C	0.230462796148145	0.227481212153402	0.000186763182541791	8	0.0048317075467917
GEM1	YAL048C	0.155874876974629	0.150575647852217	0.000448754145349088	8	0.00748961068204723
AIM2	YAL049C	0.244248895914374	0.243725954593099	0.000685812306126837	8	0.00925886268749324
OAF1	YAL051W	0.244806144882345	0.274444069261265	0.0052386721469621	8	0.0255897248592138
FLC2	YAL053W	0.25623126175505	0.259828415984854	0.000908345034219172	8	0.0106556618413591
ACS1	YAL054C	0.262311511917641	0.268788249592043	0.00268221284233044	8	0.0183105599393166
PEX22	YAL055W	0.192602741026862	0.202669628223895	0.00188149364451294	8	0.0153357981717326
GPB2	YAL056W	0.238701878492829	0.240923507320893	0.00147487341448934	8	0.0135778929444582
YAL058C-A	YAL058C-A	0.196230585381388	0.193703349226146	0.000447851865437604	8	0.00748207746416064
CNE1	YAL058W	0.215486885740625	0.232982302391539	0.00138692431008838	8	0.0131668348041983
ECM1	YAL059W	0.213886620742787	0.218329539995416	0.000485235695631164	8	0.00778809745405741
BDH1	YAL060W	0.242520521135253	0.248338984301256	0.00136980867479166	8	0.0130853385263415
BDH2	YAL061W	0.238687765070558	0.239315112112299	0.000923876557973482	8	0.0107463747257708
GDH3	YAL062W	0.230026012403909	0.222482387587933	0.000767232636269106	8	0.00979306282700352
TDA8	YAL064C-A	0.251788365323027	0.24616787031881	0.00036376349821541	8	0.00674317709072854
YAL065C	YAL065C	0.240508601905408	0.247870837521731	0.00139540912860534	8	0.0132070489162291
YAL066W	YAL066W	0.249275110006885	0.250496745237429	0.00113598324514033	8	0.0119162874102021
SEO1	YAL067C	0.246541780119427	0.250381942085108	0.000588118337835381	8	0.00857407675667897
PAU8	YAL068C	0.23253914213721	0.238585112558134	0.000885432627517932	8	0.0105204124652858
ERP1	YAR002C-A	0.231848508719554	0.235733627337693	0.000766225445445866	8	0.00978663275497417
NUP60	YAR002W	0.217076779367245	0.226565527374762	0.0010299299744695	8	0.0113464199996601
SWD1	YAR003W	0.0630282311610278	0.0681231205616768	0.00162494782034873	8	0.0142519639889943
BUD14	YAR014C	0.14493033411694	0.143232859911736	0.00101290734860399	8	0.0112522628202286
ADE1	YAR015W	0.225598651375176	0.225340401291464	0.00046722838842843	8	0.0076422214410179
KIN3	YAR018C	0.21240371433886	0.216056387761622	0.00199342640627801	8	0.0157853825035934
PAU7	YAR020C	0.217208645636015	0.223626016726137	0.000371461996118862	8	0.00681415801951039
YAR023C	YAR023C	0.233330650074061	0.239859704495892	0.000739939396032499	8	0.00961729819149133
UIP3	YAR027W	0.246753766715472	0.25242354970975	0.000368259779658791	8	0.00678472346211317
YAR028W	YAR028W	0.256764553685601	0.257076584202562	0.00116836057148402	8	0.0120849108989476
YAR029W	YAR029W	0.240425796072309	0.242909515108942	0.000455372987747527	8	0.00754464203713078
YAR030C	YAR030C	0.247350912145093	0.247206758076037	0.000529218426102986	8	0.0081334066210213
PRM9	YAR031W	0.246368375845017	0.245993422988163	0.00113912610721926	8	0.0119327600915466
YAT1	YAR035W	0.245793503044873	0.246262259447664	0.000921997539708098	8	0.0107354409533802
YAR037W	YAR037W	0.238490451479861	0.241769268965505	0.000222167647364054	8	0.00526981554900233
YAR040C	YAR040C	0.221602071743443	0.213573611787581	0.00119087134041484	8	0.0122007752848684
SWH1	YAR042W	0.217544973309382	0.228225177039519	0.00138945922972964	8	0.013178862003838
YAR043C	YAR043C	0.221592172612642	0.223139668612108	0.000653927437639105	8	0.00904106905763296
OSH1	YAR044W	0.227059865062045	0.223034087015177	0.000575346812127561	8	0.00848046882642376
YAR047C	YAR047C	0.244547165129089	0.246294596563433	0.000654376485880066	8	0.00904417275017501
FLO1	YAR050W	0.270561272766287	0.281055895500828	0.000697323573871673	8	0.00933624371650393
ECM15	YBL001C	0.252405370263265	0.253263339789229	0.000499177939442855	8	0.00789919251761576
HTA2	YBL003C	0.239954491265072	0.240868327987569	0.00020255845061193	8	0.00503187900554964
PDR3	YBL005W	0.247000044972309	0.25848458730203	0.000981872593764955	8	0.0110785411594045
SLA1	YBL007C	0.156352360717078	0.154317142749808	0.000994433708205941	8	0.0111491799485766
HIR1	YBL008W	0.187561866074667	0.193386758187616	0.00176291665740948	8	0.0148446819493105
ALK2	YBL009W	0.21985291901542	0.201566086579284	0.006208308088335	8	0.0278574677787102
YBL010C	YBL010C	0.248245467036213	0.254580791723606	0.000440128670209544	8	0.00741728277580092
SCT1	YBL011W	0.199271315212641	0.193673518459438	0.000881256189341813	8	0.0104955716217711
FMT1	YBL013W	0.215464823567959	0.213928411539684	0.000474152234364878	8	0.00769863814551702
ACH1	YBL015W	0.235414963114857	0.239718693655953	0.000158750725700799	8	0.00445464260211746
FUS3	YBL016W	0.156961858060313	0.139887304582758	0.00296643161583012	8	0.0192562704587042
PEP1	YBL017C	0.21826753470931	0.222477114944923	0.000405013557157416	8	0.00711524382187125
APN2	YBL019W	0.243537761148338	0.238340352184625	0.00100554706054457	8	0.0112113060152719
HAP3	YBL021C	0.162175821310691	0.158311649190448	0.000453163656298168	8	0.0075263176279819
NCL1	YBL024W	0.245774472930385	0.253317890583526	0.000946873748796667	8	0.010879302302978
RRN10	YBL025W	0.211705967670993	0.165642269100485	0.0139105857877503	8	0.0416991993144807
RPL19B	YBL027W	0.221648192303591	0.200097886841291	0.00502029379162804	8	0.0250506831035304
YBL028C	YBL028C	0.23831410550605	0.245605589615853	0.00111247153353063	8	0.0117923255421197
YBL029W	YBL029W	0.256576174393781	0.264851045670555	0.00145353892198135	8	0.0134793310385816
SHE1	YBL031W	0.148903066834464	0.149700517531921	0.0012964985753069	8	0.0127303700619174
HEK2	YBL032W	0.223907630838995	0.220425218741437	0.00056972511838826	8	0.0084389359399472
YBL036C	YBL036C	0.280153899235779	0.278022236495006	0.000909153601585939	8	0.0106604033787771
APL3	YBL037W	0.245123616591632	0.251401841583897	0.000307312202159131	8	0.00619790490971678
URA7	YBL039C	0.1894781529605	0.190068599955699	0.00195693033606748	8	0.0156402139374254
FUI1	YBL042C	0.24369767482216	0.241616197604825	0.000483118921401793	8	0.00777109163343376
ECM13	YBL043W	0.251350270087036	0.252171763261775	0.00012137004764432	8	0.00389502964758165
PSY4	YBL046W	0.253388548594075	0.260077703667103	0.00102270592271356	8	0.011306557404409
EDE1	YBL047C	0.207507195294188	0.214354115647231	0.00108565126601477	8	0.0116493093465598
RRT1	YBL048W	0.263992139805067	0.263528311414477	0.00110818278166831	8	0.0117695729620296
MOH1	YBL049W	0.252208887602946	0.245246186273247	0.000922335620153886	8	0.0107374090226291
