R package version: 0.0-43
Treatment: UD_X3
Medium: SDM_rhk_CTGN
Screen ID: QFA0141
Screen name: ura3
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2010/01/18
Fitness definition: MDRMDP
Condition: SDM_rhk_CTGN
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	115.690262268383	117.994328413056	174.408610088225	8	4.66916226544207
YAL004W	YAL004W	137.090228315306	136.510106357029	44.177507125429	8	2.34993369920911
SSA1	YAL005C	127.146093038612	124.454054504137	111.341419507543	8	3.73064035233134
ERP2	YAL007C	132.348705898063	131.818085805713	52.8888332840851	8	2.5712067518017
FUN14	YAL008W	132.494771611885	132.566084867592	36.0156293214111	8	2.12178077688916
MDM10	YAL010C	26.8543138870536	44.7012865868597	2076.73305922801	8	16.1118475788316
SWC3	YAL011W	121.780970138927	125.513092743556	157.647021678805	8	4.43913028755077
DEP1	YAL013W	107.946053512708	109.557266235989	169.711747049383	8	4.60586239277433
SYN8	YAL014C	136.08503835312	134.561345757161	50.8127002774312	8	2.52023561094571
NTG1	YAL015C	132.428184208833	129.608296538855	132.412358649657	8	4.06835898504632
PSK1	YAL017W	142.691432154024	143.715112392556	195.291998047692	8	4.94079950574413
LDS1	YAL018C	141.003179140743	138.955018743144	46.3815109099959	8	2.40783904440257
FUN30	YAL019W	129.09025350325	128.045582580599	10.9753026166164	8	1.17128682528109
ATS1	YAL020C	122.954177757224	126.162848820004	182.963987843636	8	4.78231099788109
FUN26	YAL022C	130.709958555079	128.627793077528	47.76443679152	8	2.4434718330564
PMT2	YAL023C	131.331656100267	130.244709506715	42.5050516150621	8	2.30502309139903
LTE1	YAL024C	124.257978316598	124.25905961209	103.343967232882	8	3.59416136311521
DRS2	YAL026C	94.5052338283656	86.7936495305647	1742.91267414121	8	14.7602196551288
SAW1	YAL027W	137.205038254465	136.155607805838	72.7042334662102	8	3.01463582929618
FRT2	YAL028W	132.23111121686	130.9920715066	27.6677323168776	8	1.85969528138609
MYO4	YAL029C	130.278215717215	129.114972598042	12.179601389005	8	1.2338760770943
SNC1	YAL030W	129.680330215442	129.999185929849	29.3374860297352	8	1.91498975290128
GIP4	YAL031C	142.864996686945	143.234627337181	195.421807743872	8	4.94244129636195
FUN19	YAL034C	138.731643695847	137.973522025093	124.440483716826	8	3.94399042399994
RBG1	YAL036C	128.800248868929	132.784915828278	237.159271482492	8	5.44471385247301
YAL037W	YAL037W	133.899522051535	134.037935515321	126.794096127118	8	3.9811131629093
CLN3	YAL040C	130.198006639248	130.447948262796	34.5859766341808	8	2.07924194822839
ERV46	YAL042W	125.623625648578	125.870964028084	157.845666536948	8	4.44192619446997
YAL043C-A	YAL043C-A	124.125445027738	124.363377085458	89.7343977356491	8	3.34914910342256
YAL045C	YAL045C	129.373665445286	129.241313670379	35.178981941081	8	2.09699135492618
AIM1	YAL046C	121.020232485099	122.328588876894	38.6731691843931	8	2.1986691765814
