R package version: 0.0-43
Treatment: 30
Medium: SDM_rhlk_CTGNH
Screen ID: QFA0051
Screen name: cdc13-1_exo1D
Libraries: SDLV2_384
Client: DAL
User: GNG
PI: DAL
Date: 2011/01/11
Fitness definition: nAUC
Condition: SDM_rhlk_CTGNH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.0728069367251423	0.0660340878844834	0.000578274903283234	4	0.0120236735576449
YAL004W	YAL004W	0.0359930659489878	0.0383275511175954	0.000237173542445606	4	0.00770021984175786
SSA1	YAL005C	0.0261460376516866	0.0261440786806188	2.39181013673183e-05	4	0.00244530679912145
ERP2	YAL007C	0.0263525294584762	0.0325348968004503	0.000213171254922959	4	0.00730019271873968
FUN14	YAL008W	0.0244962164599255	0.0262543497333797	1.45151477465526e-05	4	0.00190493751515322
MDM10	YAL010C	0.0236032309037481	0.0228975284414541	3.32177854030363e-06	4	0.000911287350442169
SWC3	YAL011W	0.0240037771955081	0.0234176917939043	7.75454461039865e-06	4	0.00139234914895642
DEP1	YAL013W	0.0208585609499864	0.0207297995706314	1.51024042488241e-06	4	0.000614459198173973
SYN8	YAL014C	0.0243726123257235	0.0243818572967974	6.33228401924905e-06	4	0.00125820149610953
NTG1	YAL015C	0.0233169313180091	0.0252620164373021	2.25069157245033e-05	4	0.00237207270780763
PSK1	YAL017W	0.0250736761744405	0.0258174297176461	4.45730700735238e-06	4	0.00105561676371593
LDS1	YAL018C	0.0268393848886256	0.0275569859075625	4.79091028116924e-05	4	0.00346082009109447
FUN30	YAL019W	0.0277608283625081	0.0268106018987803	1.70370252316285e-05	4	0.00206379657619329
ATS1	YAL020C	0.0228580570671541	0.0232403833292436	1.55279742877405e-05	4	0.0019702775367788
FUN26	YAL022C	0.0312180287254738	0.0307773248130833	7.09004747144075e-05	4	0.00421012098146857
PMT2	YAL023C	0.0303841973391102	0.0305140012884244	4.77803990477926e-05	4	0.00345616836423635
LTE1	YAL024C	0.0197014716488774	0.0191165205871978	3.27752231153304e-06	4	0.000905196430551547
DRS2	YAL026C	0.0265081091433308	0.0408281588874636	0.000892424208179196	4	0.0149367349860938
SAW1	YAL027W	0.0250502158447928	0.0255078510099167	3.80336594379107e-06	4	0.000975111012114911
FRT2	YAL028W	0.0248308960006266	0.0248960859363915	5.58787071674137e-06	4	0.00118193387259412
MYO4	YAL029C	0.0226560446474581	0.0241885490415898	2.221478801376e-05	4	0.00235662831253467
SNC1	YAL030W	0.0250950245783953	0.0264517264582843	2.8045744163236e-05	4	0.00264791163765126
GIP4	YAL031C	0.025062816822201	0.0256097761744989	1.06163451405757e-05	4	0.0016291366686512
FUN19	YAL034C	0.0295543815217066	0.0286146395653592	4.31200562814734e-05	4	0.00328329317459899
