R package version: 0.0-43
Treatment: 33
Medium: SDM_rhlk_CTGNH
Screen ID: QFA0136
Screen name: stn1-13
Libraries: SDLV4_384
Client: DAL
User: AAB
PI: DAL
Date: 2014/08/22
Fitness definition: MDRMDP
Condition: SDM_rhlk_CTGNH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	46.9529487396548	47.9674464741913	169.778879697934	8	4.60677327011453
EFB1	YAL003W	37.0235865696419	36.3237117880658	31.7298986599163	8	1.99154144633988
YAL004W	YAL004W	48.9842238616332	45.72982842426	186.384380127339	8	4.82680510440574
SSA1	YAL005C	46.7876813601234	45.7087206148947	119.071133618641	8	3.85796470983473
ERP2	YAL007C	50.862985619677	47.2696025719012	177.732815768413	8	4.71344905255713
FUN14	YAL008W	50.7636266432216	48.1318168344978	109.151436004333	8	3.69376901017669
MDM10	YAL010C	38.1686803308637	35.5935901066429	175.883302701171	8	4.688860505245
SWC3	YAL011W	46.5901933062413	46.4185443588577	108.075595619892	8	3.6755202968405
DEP1	YAL013W	47.6439680868003	46.8803264756687	45.4801730855617	8	2.38432834058047
SYN8	YAL014C	53.236231737683	49.1799406321775	191.413304417401	8	4.89148883798943
NTG1	YAL015C	52.3945630748252	51.9328506303449	57.2000874457745	8	2.6739504353525
PSK1	YAL017W	40.5381241326801	40.4885445951692	79.0462470795983	8	3.14337094294482
LDS1	YAL018C	45.0275043249804	43.1969882894922	102.699797517469	8	3.58294218341347
FUN30	YAL019W	45.9135622827234	44.1704044100447	75.3704416558854	8	3.06941447298759
ATS1	YAL020C	44.4060098706663	41.4145320303029	161.837649798746	8	4.49774457087585
FUN26	YAL022C	46.5459084727883	47.2576542104328	136.979474727551	8	4.1379263334361
PMT2	YAL023C	40.5787965513322	37.0015068694333	231.81103936184	8	5.38297129104643
LTE1	YAL024C	15.1809092543834	17.6388142759231	75.8625872163085	6	3.555807156758
MAK16	YAL025C	46.8451361614021	45.8740439228259	14.6125755746437	8	1.35150728700606
DRS2	YAL026C	46.2533092131006	43.1009599929114	48.9908994160335	8	2.47464389902955
SAW1	YAL027W	45.1655684898211	42.5857401711869	128.690482788042	8	4.0107742829166
FRT2	YAL028W	51.9235181544148	47.9597409571317	113.724209654599	8	3.77034828720436
MYO4	YAL029C	36.8499632245895	36.5024759949165	92.4132948401405	8	3.39877358101677
SNC1	YAL030W	37.5339526536102	34.9854200584567	98.7524286211002	8	3.51341053360371
GIP4	YAL031C	52.6393562040604	50.0448748666495	103.697548263999	8	3.60030464447106
PRP45	YAL032C	39.5225377885843	39.1312905518765	52.0873719357842	8	2.55165073863431
POP5	YAL033W	34.8075860444912	33.4597035919612	51.9240635477684	8	2.54764753124742
FUN19	YAL034C	46.5553873044494	46.2530246566459	152.58569278864	8	4.36728881556738
MTW1	YAL034W-A	37.3957708979784	37.9252182617903	26.4352830673213	8	1.81780372521765
RBG1	YAL036C	52.1185490154258	50.1528405889942	96.2869915812389	8	3.46927570937434
YAL037W	YAL037W	53.461308030207	53.1214062024926	102.273866219168	8	3.57550461856729
CDC19	YAL038W	43.8865764739357	43.9534736209325	15.5176101091756	8	1.3927315834887
CLN3	YAL040C	46.7090364602826	42.718105242783	125.276551041422	8	3.957217315258
CDC24	YAL041W	46.5703997363736	42.0118012377867	129.631017697329	8	4.02540398123793
ERV46	YAL042W	48.1913946721478	46.5017362429952	134.416248023267	8	4.09902805588207
PTA1	YAL043C	34.278005946687	35.1028184851676	24.7141468421568	8	1.75763146173184
YAL043C-A	YAL043C-A	34.659151416076	35.2543827933939	104.404953597703	8	3.61256407551657
YAL045C	YAL045C	51.5969112807977	49.8273389583806	69.3313488030827	8	2.94387815651146
AIM1	YAL046C	43.5085434975652	42.617753323563	3.17360646502399	6	0.727278771061917
GEM1	YAL048C	0	4.49594639156107	121.281203734746	6	4.49594639156107
AIM2	YAL049C	48.578840579547	46.7215623794747	166.808209566432	8	4.56629239052911
OAF1	YAL051W	28.8955170159627	30.2788874572649	144.942340084349	8	4.25650003060538
FLC2	YAL053W	47.5354572661634	45.6583159010021	118.589454032474	8	3.85015347149425
ACS1	YAL054C	36.1595019218002	35.4228859989258	182.661092878057	8	4.77835082531171
PEX22	YAL055W	39.8926874675783	39.8112593746749	97.0700195044382	8	3.48335361943842
GPB2	YAL056W	39.7979053961487	40.1753451081554	67.1956236267378	8	2.89818097318684
YAL058C-A	YAL058C-A	49.4396766817292	48.2523895923113	133.35168500379	8	4.08276384640035
CNE1	YAL058W	44.5979702050323	45.3475434193119	167.900608103884	8	4.58121992628443
ECM1	YAL059W	50.0948024265784	46.9559381591188	182.837840995881	8	4.78066210105725
BDH1	YAL060W	42.3521748075738	40.4568329518369	99.0375092020577	8	3.51847817248554
BDH2	YAL061W	49.7731292278672	46.4687755524741	95.3863728040049	8	3.45301268467126
GDH3	YAL062W	54.5291585531669	52.7929363366603	88.5961861824506	8	3.32784063212263
TDA8	YAL064C-A	46.8953044605507	42.4998412810558	141.883927122833	8	4.21135262004432
YAL065C	YAL065C	48.6583440132948	47.0663567357622	115.161793673547	8	3.79410387432835
YAL066W	YAL066W	36.4374799299069	35.9519742359739	57.6222825029641	8	2.68380053522435
SEO1	YAL067C	45.1893030569509	44.614943292323	95.9867167699824	8	3.46386194820865
PAU8	YAL068C	46.32012478283	43.6630783523825	195.768941774545	8	4.9468290572667
ERP1	YAR002C-A	46.4675026959687	45.3942102812189	30.118330715994	8	1.94030702196824
NUP60	YAR002W	47.079330340643	45.3488949448122	119.184943479247	8	3.85980801788196
SWD1	YAR003W	34.4032411473455	30.2747312610314	346.356651124717	8	6.57986180634438
RFA1	YAR007C	49.2896976603201	50.6627903686822	29.8371755670786	8	1.93122938717409
SEN34	YAR008W	34.0342185119583	34.08463975289	21.9370690708072	8	1.65593889798232
BUD14	YAR014C	51.9980138125311	49.6515142659992	109.855894708855	8	3.70566955334754
ADE1	YAR015W	39.1617893639479	36.6160677168763	116.550831137609	8	3.81691680446419
KIN3	YAR018C	25.6442694277713	27.6051862977634	150.759468088859	8	4.34107515612289
CDC15	YAR019C	48.3695400869687	46.4378827387227	103.445552295159	8	3.59592742375244
PAU7	YAR020C	50.4689646869981	51.1138794032393	89.8974152920629	8	3.35218986805757
YAR023C	YAR023C	47.6945889100188	44.6313034903433	135.789556037218	8	4.11991438074291
UIP3	YAR027W	43.8854204050013	44.450569466902	178.657234861523	8	4.72569088681119
YAR028W	YAR028W	47.4556633267923	47.3524894382262	23.4766044969186	8	1.71306029144185
YAR029W	YAR029W	52.5620210737265	50.4018351280177	91.8580987831249	8	3.38854870820689
YAR030C	YAR030C	46.2198233283007	42.8687700287443	108.814624892464	8	3.6880656327617
PRM9	YAR031W	49.5583483117667	45.554258633161	204.303867299738	8	5.05351198796117
YAT1	YAR035W	50.6905534235146	48.1624818393993	183.590385940539	8	4.79049039687664
YAR037W	YAR037W	48.3303840507589	45.3701914414512	120.598758477898	8	3.88263374653562
YAR040C	YAR040C	49.1073862151466	49.2593087661753	27.2707311870434	8	1.84630479563382
SWH1	YAR042W	46.3244988960268	44.1944383236583	109.84014877876	8	3.70540397222016
YAR043C	YAR043C	43.8051146339388	40.7231244017425	189.922604547278	8	4.87240449556579
OSH1	YAR044W	46.4219727710069	43.6048272087093	104.497255457915	8	3.61416061240219
YAR047C	YAR047C	37.6491720793068	37.8698136296424	56.6204324790477	8	2.66036727913289
FLO1	YAR050W	38.3286598221113	35.5789741266487	128.202081481812	8	4.00315627789205
ECM15	YBL001C	49.3987187827115	43.6753055092743	194.783175586117	8	4.93435881835367
HTA2	YBL003C	50.1186864229391	49.0113616229681	128.108879721718	8	4.00170088402604
UTP20	YBL004W	36.7715044798026	38.8250569690431	26.5441771363972	8	1.82154388968524
PDR3	YBL005W	42.2452935694455	39.6412307284252	148.270028936842	8	4.30508462368689
SLA1	YBL007C	33.4893410280797	26.6753278957773	455.679319137798	8	7.54717926726434
HIR1	YBL008W	29.9564866938479	30.8192000003645	175.61918109093	8	4.68533858289519
ALK2	YBL009W	47.8652456857929	43.1172159739517	167.883879775062	8	4.58099170179152
YBL010C	YBL010C	51.356145061188	45.169698854086	252.982042535563	8	5.62341135939256
SCT1	YBL011W	43.7026743516294	41.2804672937751	140.30053092758	8	4.18778776515089
FMT1	YBL013W	34.6692850323313	33.0697984868858	91.6874363672198	8	3.38539946622293
RRN6	YBL014C	47.1136237983073	46.6456770763101	12.8087550135344	8	1.2653435804918
ACH1	YBL015W	51.5112027545162	50.5167189418919	86.2482436584903	8	3.28344795258144
FUS3	YBL016W	49.8921371833299	46.8096172479712	221.363810664005	8	5.26027340857875
PEP1	YBL017C	48.3584674939571	45.8841504408776	150.987502800784	8	4.34435701227443
POP8	YBL018C	47.3422892605682	47.4441868590968	40.673815096922	8	2.25482302789271
APN2	YBL019W	46.4142657939545	45.2681865426453	31.6973909815685	8	1.99052100533907
RFT1	YBL020W	36.9605597789339	37.4615120251606	5.51937238233325	8	0.8306151622693
HAP3	YBL021C	45.3966044809833	42.2662076391553	206.539123482605	8	5.08108162061245
MCM2	YBL023C	34.9028786999697	33.5868467490406	14.1229673035107	8	1.3286726131515
NCL1	YBL024W	49.2234660893228	44.9857699793371	185.582454142133	8	4.8164101536068
RRN10	YBL025W	32.9308279513237	43.8861632368522	929.118305784029	8	10.7768171657036
RPL19B	YBL027W	35.6143905977813	35.4350891637737	30.840557753131	8	1.96343314608402
YBL028C	YBL028C	52.1604816598352	49.680370406727	98.1640661895085	8	3.50292852820159
YBL029W	YBL029W	44.0856279996608	42.0155411079995	109.144345141944	8	3.69364902809445
PET9	YBL030C	29.2703443697146	25.8453592674531	276.424667644275	8	5.87818708919122
SHE1	YBL031W	31.2100768551398	30.7453677994346	75.6760633111557	8	3.07563130330904
HEK2	YBL032W	33.0525170140619	32.3849977652746	104.058721849708	8	3.60656903874215
POL12	YBL035C	35.9611590008273	36.1240998199459	35.2745469949848	8	2.09983770191248
YBL036C	YBL036C	48.1152904736023	45.0461271665613	170.809245603782	8	4.62073107857109
APL3	YBL037W	46.4761601919442	43.4823617047156	145.404189631682	8	4.26327617026627
URA7	YBL039C	41.1144975533967	41.523986647715	124.77655494084	8	3.94931251835114
PRE7	YBL041W	11.2201814329626	11.1653804864934	23.1873134826175	8	1.70247296170224
FUI1	YBL042C	57.1565374693851	55.2884344738093	88.1923464142382	8	3.32024747598425
ECM13	YBL043W	47.8359726588771	45.9204754129343	156.29438347577	8	4.42004501498245
PSY4	YBL046W	49.5668841457458	47.8023908005196	32.9012882969124	8	2.02796968348002
EDE1	YBL047C	52.3682218705085	53.0108302437269	82.7725145075885	8	3.21660757840439
RRT1	YBL048W	30.9851274455061	33.7880716412913	162.312924349014	8	4.50434407473793
MOH1	YBL049W	48.1764261963298	44.5306508025766	176.507688172023	8	4.69717585592692
SEC17	YBL050W	36.0848119053898	35.7165901156597	7.21520941908608	8	0.94968477790568
PIN4	YBL051C	47.3718880369683	48.4376380531855	563.018855937311	8	8.38912134804139
SAS3	YBL052C	48.8583433110141	44.9954572682142	113.337275678138	8	3.76392872671193
YBL053W	YBL053W	43.168827419244	41.600003324916	105.491694140443	8	3.63131680903159
TOD6	YBL054W	28.3277409989223	26.8530222580052	96.0808592706787	8	3.46556018687237
YBL055C	YBL055C	41.2898099123118	39.8526899588337	77.305257891602	8	3.10856192417816
