R package version: 0.0-43
Treatment: 37_5
Medium: SDM_rhk_CTGN
Screen ID: QFA0139
Screen name: Yku70
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2009/08/28 2009/08/05
Fitness definition: MDRMDP
Condition: SDM_rhk_CTGN
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0	38.9787679319325	3097.44581517166	8	19.6769084689759
YAL004W	YAL004W	60.0923165795081	75.6557925664394	2367.03775101428	8	17.2011545797596
SSA1	YAL005C	59.7242316284894	68.2539740972585	2480.9072688028	8	17.6100371549963
ERP2	YAL007C	86.6577422976971	92.1048412387913	1222.0082319345	8	12.359248722791
FUN14	YAL008W	55.2680999527919	70.7078493055571	2379.02852484529	8	17.2446677441365
MDM10	YAL010C	0	18.9292878367534	780.138801066669	8	9.87508734813691
SWC3	YAL011W	25.9741414852149	44.8353686151904	2200.74085631362	8	16.5859159240363
DEP1	YAL013W	0	40.1092454885198	3375.41109171023	8	20.5408467805925
SYN8	YAL014C	78.3935999016446	85.97050317301	1432.62028049406	8	13.3819854678503
NTG1	YAL015C	80.7654731867678	89.1213184677087	1079.50320143994	8	11.6162773804689
PSK1	YAL017W	81.3181235829658	95.065930391746	1526.75928535928	8	13.8146628865821
LDS1	YAL018C	79.4071921774548	94.0804207185829	1460.87834710323	8	13.5133191107109
FUN30	YAL019W	64.576497444224	77.5272397774867	1519.07406497537	8	13.7798497133286
ATS1	YAL020C	53.6810791894358	65.2212379554129	2607.00505829492	8	18.0520257114504
FUN26	YAL022C	81.1623925518136	95.0489964549787	1273.39082991314	8	12.6164120786832
PMT2	YAL023C	50.4449990893611	62.2596779195229	3385.62088460811	8	20.5718888431766
LTE1	YAL024C	73.4617857224284	77.3467846219903	155.85731941917	8	4.41386054689048
DRS2	YAL026C	28.7367892223605	43.3655669254928	1811.60359554276	8	15.0482706462519
SAW1	YAL027W	79.5636012024702	87.456934618173	1261.1614315873	8	12.5556831334823
FRT2	YAL028W	77.3416962130877	85.7605350429591	1247.21191534532	8	12.4860517946293
MYO4	YAL029C	74.012270927614	87.8669868782586	1183.56714847384	8	12.163301096299
SNC1	YAL030W	78.9495136570023	92.3922548784832	1057.98498294502	8	11.4999183852812
GIP4	YAL031C	76.4603470194253	86.5478545035515	1277.9014001038	8	12.6387370814087
FUN19	YAL034C	75.5734776352925	90.4911036842671	1457.79023668906	8	13.4990288386288
RBG1	YAL036C	83.5477323356612	85.4111211899369	2255.7609872172	8	16.7919660374284
YAL037W	YAL037W	72.4837691047184	82.9656034587345	2224.71108238652	8	16.6759972804722
CLN3	YAL040C	74.2383760767007	84.4855397170067	1401.0040878829	8	13.2334995743893
ERV46	YAL042W	74.4452355156413	86.3418160378873	1407.33440233695	8	13.2633630837778
YAL043C-A	YAL043C-A	72.7059672129467	86.285687780063	1488.19863317985	8	13.6390919473212
YAL045C	YAL045C	63.0044008587492	73.8764439036554	2392.6493678938	8	17.2939634261995
AIM1	YAL046C	78.4346454849712	79.7212967017282	263.1261441957	8	5.73504734282661
GEM1	YAL048C	53.3725407556366	35.3341998120977	864.52662684557	8	10.3954715311859
AIM2	YAL049C	79.3361125360632	92.8142355772603	1355.47621990948	8	13.016701866782
OAF1	YAL051W	77.3163575461514	94.585168944113	1454.20356526794	8	13.4824124569193
FLC2	YAL053W	0	46.0885877392342	4346.72036531661	8	23.309655631617
ACS1	YAL054C	79.385502947889	98.9649054538771	1303.35600237874	8	12.7639923338015
PEX22	YAL055W	78.4236257276889	89.2042422498255	1010.76689656957	8	11.2403675238489
GPB2	YAL056W	0	52.228706539978	5734.44283994047	8	26.7732208557835
YAL058C-A	YAL058C-A	34.3221009778436	51.1137494026699	2567.33146455171	8	17.9141405897398
CNE1	YAL058W	75.4668193042246	82.5852501568234	1303.96480016387	8	12.766973017144
