R package version: 0.0-43
Treatment: 37_5
Medium: SDM_rhk_CTGN
Screen ID: QFA0139
Screen name: Yku70
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2009/08/28 2009/08/05
Fitness definition: nAUC
Condition: SDM_rhk_CTGN
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.0194615951376015	0.0595074997172919	0.00391801838216259	8	0.0221303478908562
YAL004W	YAL004W	0.050184608933071	0.0984868325164135	0.0105455781537748	8	0.0363069865070326
SSA1	YAL005C	0.0441163990134355	0.0871504658065944	0.00745801331691051	8	0.0305327965409953
ERP2	YAL007C	0.12848927493783	0.13002842294991	0.00692859905436055	8	0.0294291502051124
FUN14	YAL008W	0.0464743523401979	0.0990167676341978	0.0108652679709143	8	0.0368532019825183
MDM10	YAL010C	0.0196810937779098	0.0253781869554664	0.000135445422569336	8	0.00411469048910936
SWC3	YAL011W	0.0233190830352848	0.0511643031554719	0.00250689214007685	8	0.0177020201533499
DEP1	YAL013W	0.0205730380692713	0.0653194868678476	0.00574460140637229	8	0.026796924745137
SYN8	YAL014C	0.0719844737661419	0.106550030585435	0.00949085642856971	8	0.0344435342781662
NTG1	YAL015C	0.0989793292391914	0.1138769121206	0.00590274515810171	8	0.0271632683004589
PSK1	YAL017W	0.11213784019854	0.140224275726302	0.010846607224748	8	0.036821541291661
LDS1	YAL018C	0.105972723651061	0.130843544306889	0.0104679895129718	8	0.0361731763758932
FUN30	YAL019W	0.0478208160011809	0.0873905947904891	0.0068458284630782	8	0.0292528384585971
ATS1	YAL020C	0.0388345994428334	0.089435109259204	0.00837298255274389	8	0.0323515504897831
FUN26	YAL022C	0.105710914073812	0.135674652251409	0.00877354350249057	8	0.0331163545368647
PMT2	YAL023C	0.0308801082647343	0.0940673700596401	0.010416810893902	8	0.0360846416323863
LTE1	YAL024C	0.0734260146071471	0.0828640104712977	0.00112889832251952	8	0.0118790694212526
DRS2	YAL026C	0.021262225413755	0.0431533635828703	0.00159001648486682	8	0.0140979452619292
SAW1	YAL027W	0.0710016171477744	0.110760550454645	0.00872753940786176	8	0.0330294175846732
FRT2	YAL028W	0.0818354487036612	0.109319085005794	0.00692600840836515	8	0.0294236478201742
MYO4	YAL029C	0.0817700212227502	0.111955572412198	0.00637779016041259	8	0.0282351513197924
SNC1	YAL030W	0.0995891189197405	0.125914633908133	0.00583034875466554	8	0.0269961774022396
GIP4	YAL031C	0.0757349998294679	0.105908534463791	0.00753957616988864	8	0.0306993000121514
FUN19	YAL034C	0.0938236552259232	0.120807447080045	0.0085987858893938	8	0.0327848781631749
RBG1	YAL036C	0.0854443376277619	0.117240962463649	0.00820255874531275	8	0.0320206159085689
YAL037W	YAL037W	0.0810031243512082	0.116239742809253	0.0096064816022789	8	0.0346527084119678
CLN3	YAL040C	0.0867798357257129	0.107909174908676	0.00747681625672231	8	0.0305712615390711
ERV46	YAL042W	0.0794404644695263	0.110180059623085	0.00893633416555314	8	0.0334221748348928
YAL043C-A	YAL043C-A	0.073417725316155	0.107019700122794	0.00803050576963672	8	0.031683011555163
YAL045C	YAL045C	0.0598883132856931	0.102449825520301	0.0108765866349584	8	0.0368723925094345
AIM1	YAL046C	0.106395945361738	0.108200645357044	0.00233227610946022	8	0.0170743817950322
GEM1	YAL048C	0.0307175078722499	0.0322567578988905	0.000103157213520707	8	0.00359091237571852
AIM2	YAL049C	0.103850065884952	0.129920143735565	0.00954028720442295	8	0.0345331131025407
OAF1	YAL051W	0.0941480849467989	0.131415569734903	0.00845059163752087	8	0.0325011377445484
FLC2	YAL053W	0.0193910520482019	0.090295879885709	0.0113402275011508	8	0.0376500788530894
ACS1	YAL054C	0.10573798757891	0.148648816068281	0.00879981267635853	8	0.0331658949004066
PEX22	YAL055W	0.0885429528611768	0.103630295628578	0.00483348580619246	8	0.0245801897017508
GPB2	YAL056W	0.0250113719715265	0.109850785875235	0.0172888545394159	8	0.0464877060891048
YAL058C-A	YAL058C-A	0.0270055385170212	0.0664882553486955	0.0053506431529399	8	0.0258617554337962
CNE1	YAL058W	0.0715098509979751	0.104992276213682	0.00786107799852897	8	0.0313470054361836
ECM1	YAL059W	0.0761411820152846	0.107955247295072	0.00815598126269033	8	0.0319295734051724
