R package version: 0.0-43
Treatment: UD23-36_8h_1x 
Medium: SDM_rhlk_CTGH
Screen ID: QFA0142
Screen name: cdc13-1 rad9D
Libraries: SDLV2_384 SDLV3_384
Client: APB
User: APB
PI: 
Date: 2010/01/18
Fitness definition: nAUC
Condition: 
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.0485482414229678	0.0890147448738401	0.00678818045623962	8	0.0291294105163485
YAL004W	YAL004W	0.0477286576216049	0.0499085584263939	0.000829322604434479	8	0.01018161704025
SSA1	YAL005C	0.034599846624592	0.0423865945162452	0.000466570688100111	8	0.00763684070886082
ERP2	YAL007C	0.0417289034308742	0.0462562708062962	0.000692072956609519	8	0.00930102787740096
FUN14	YAL008W	0.049417594279181	0.0532551249330306	0.000872023441618034	8	0.0104404468392045
MDM10	YAL010C	0.0304071484131851	0.0402103268261687	0.000717697035019434	8	0.00947164871484523
SWC3	YAL011W	0.062458367908707	0.0854744050944683	0.00516651920922168	8	0.0254128884850327
DEP1	YAL013W	0.0324241766023256	0.0344323893015017	0.000202425057166014	8	0.00503022187838188
SYN8	YAL014C	0.0540005585215697	0.0547979897622864	0.000980200214032143	8	0.0110691023463521
NTG1	YAL015C	0.0475825190786704	0.0569451632553962	0.00145056740608381	8	0.0134655458768101
PSK1	YAL017W	0.039958871835989	0.0453675758920856	0.000552241255070561	8	0.00830843889571441
LDS1	YAL018C	0.0373263795040596	0.0415141305354181	0.000339585986556171	8	0.00651523202346021
FUN30	YAL019W	0.0395649487192049	0.0593535996436577	0.00192563556837651	8	0.0155146526241184
ATS1	YAL020C	0.0453178071925764	0.0522763666494716	0.000839341580545533	8	0.010242934031233
FUN26	YAL022C	0.0461059450526339	0.0460767155284335	0.000400191430611055	8	0.00707275963301326
PMT2	YAL023C	0.0418688576730017	0.0510082288053466	0.000747154546696941	8	0.00966407358918162
LTE1	YAL024C	0.0299455199017594	0.0320554208484598	0.000141997153986367	8	0.0042130326664169
DRS2	YAL026C	0.0362285529770642	0.0501698423868909	0.00109182262695767	8	0.0116823725488322
SAW1	YAL027W	0.0376358179940034	0.0511773204341295	0.00108568989311301	8	0.0116495165839242
FRT2	YAL028W	0.0408550881947095	0.0538817250789054	0.0011333613672691	8	0.011902527920935
MYO4	YAL029C	0.0327518772191724	0.0489519569819736	0.0010275502551325	8	0.0113333041030215
SNC1	YAL030W	0.0360412331027837	0.0459207762821768	0.00070307796937989	8	0.00937468645728945
GIP4	YAL031C	0.0574275229171092	0.058806855148108	0.00137198430136777	8	0.013095725931424
FUN19	YAL034C	0.043177115946385	0.0486236390741449	0.000934573905844357	8	0.0108084105321062
RBG1	YAL036C	0.0436164174532781	0.0517842165437623	0.00116683742467112	8	0.01207703101279
YAL037W	YAL037W	0.0450200853455402	0.0525004290142535	0.00127078043834106	8	0.01260347391764
CLN3	YAL040C	0.0385216247830841	0.042164486209917	0.00046008367124364	8	0.00758356505249708
ERV46	YAL042W	0.0382311426341838	0.0466913648011447	0.000549356407499748	8	0.00828670929485695
YAL043C-A	YAL043C-A	0.0463456921239596	0.0567824000983892	0.00150840298878552	8	0.0137313645934477
YAL045C	YAL045C	0.0457390695205423	0.0567673290797644	0.00151561152426415	8	0.0137641360256654
AIM1	YAL046C	0.0327807203244264	0.0398695613476341	0.00039710415886492	8	0.00704542545614635
GEM1	YAL048C	0.0264152897996734	0.0301973050170117	6.91625129044616e-05	8	0.00294029150137494
AIM2	YAL049C	0.0425208443464812	0.0478432886343689	0.000645764978191373	8	0.00898446560870048
