R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 30C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0131
y-axis screen name: rfa3-313 30C
y-axis libraries: SDLV4_384
y-axis client: MJG
y-axis user: AAB
y-axis date: 2014/06/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNL284C	MRPL10	2.61388e-07	5.96084e-05	-55.8658	0	72.4662	0	3.77939	8	8	t-test	E
YKL113C	RAD27	0.000150622	0.00475264	-53.4802	2.65446	72.815	0.777161	9.49586	8	8	t-test	E
YNL038W	GPI15	3.70415e-07	7.74322e-05	-50.2022	5.49004	72.2412	4.25589	3.77942	8	8	t-test	E
YPR141C	KAR3	9.84772e-09	3.29373e-06	-47.4397	1.83998	63.9231	0.975139	3.03501	8	8	t-test	E
YBR087W	RFC5	1.37089e-08	4.29859e-06	-47.1848	4.40319	66.9174	1.32155	3.43252	8	8	t-test	E
YNL250W	RAD50	1.22562e-26	3.07446e-23	-46.9099	7.4036	70.4528	2.35693	2.62207	48	48	t-test	E
YNL215W	IES2	3.10536e-07	6.77374e-05	-46.6594	0.359823	60.9909	0.359823	3.39397	8	8	t-test	E
YPR176C	BET2	7.68878e-10	3.61268e-07	-45.6257	3.04275	63.1303	0.962951	2.49356	8	8	t-test	E
YJR043C	POL32	5.34756e-05	0.00233293	-44.9587	2.74483	61.8787	1.08197	7.029	8	8	t-test	E
YIL171W	YIL171W	0.00156553	0.0226348	-44.0704	14.0245	75.3578	9.18135	4.38749	8	6	t-test	E
YGR270W	YTA7	3.8399e-09	1.37606e-06	-42.5964	4.93313	61.6529	2.25551	3.12477	8	8	t-test	E
YMR290C	HAS1	1.2564e-06	0.00019698	-42.5607	6.12554	63.1534	4.0108	3.32804	8	8	t-test	E
YLR261C	VPS63	1.90009e-06	0.000280375	-42.3695	5.84308	62.5389	4.0939	4.50277	8	8	t-test	E
YER116C	SLX8	0.000129061	0.00423203	-40.6835	3.86985	57.7924	1.14555	5.59129	8	6	t-test	E
YGL173C	XRN1	0.000122227	0.004061	-38.2566	4.22126	55.1002	1.08806	6.77697	8	8	t-test	E
YCL061C	MRC1	4.94162e-06	0.000590288	-37.3512	8.5723	59.5696	1.96906	5.03496	8	8	t-test	E
YDR004W	RAD57	0.00113517	0.0179596	-37.1771	13.0131	65.1042	6.42048	8.40509	8	8	t-test	E
YML032C	RAD52	1.89452e-17	2.3762e-14	-36.9026	15.6268	68.1385	3.02428	2.13903	56	56	t-test	E
YKL167C	MRP49	0.00422037	0.0421043	-36.7084	13.6727	65.3518	8.97943	5.87466	8	8	t-test	E
YKL213C	DOA1	4.77193e-07	9.20799e-05	-36.2824	2.07417	49.7542	0.331986	2.83052	8	8	t-test	E
