R package version: 0.0-42
Summary type: mean
Test type: t-test
x-axis treatment: 33
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 33C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 33
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0136
y-axis screen name: stn1-13 33C
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: AAB
y-axis date: 2014/08/22
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YGL180W	ATG1	0.0916597	0.254644	-46.02	28.1949	125.79	3.71817	39.7272	8	8	t-test	E
YGL144C	ROG1	0.136672	0.330041	-42.8429	29.6756	122.915	4.0599	42.925	8	8	t-test	E
YDL134C	PPH21	0.121947	0.306472	-42.832	17.4486	102.172	2.05807	38.9952	8	6	t-test	E
YDR053W	YDR053W	5.44426e-07	5.10047e-05	-42.2063	0	71.5375	0	4.15144	8	8	t-test	E
YBR190W	YBR190W	2.59609e-08	5.71027e-06	-41.3224	0	70.0394	0	2.61566	8	8	t-test	E
YOR212W	STE4	3.59841e-08	7.28174e-06	-41.0455	0	69.57	0	2.72334	8	8	t-test	E
YDL041W	YDL041W	9.79478e-07	7.39579e-05	-39.6171	0	67.149	0	2.34808	8	6	t-test	E
YLR410W	VIP1	0.171546	0.377654	-38.4775	37.4924	128.765	3.42502	42.5977	6	8	t-test	E
YHR049W	FSH1	0.18089	0.39041	-38.3315	35.8782	125.782	2.36116	43.6205	8	8	t-test	E
YGL029W	CGR1	0.000145854	0.00312659	-38.2408	0	64.8162	0	8.72537	6	8	t-test	E
YBR026C	ETR1	4.6337e-09	1.56279e-06	-37.8281	1.68266	66.9687	0.38821	2.37993	8	8	t-test	E
YLR338W	OPI9	0.0193746	0.093975	-37.6315	11.1061	82.6078	4.59969	20.9604	6	8	t-test	E
YPR050C	YPR050C	1.30903e-09	6.66881e-07	-36.7989	3.44917	68.2184	0.762784	2.6441	6	8	t-test	E
YLR178C	TFS1	0.164849	0.370818	-36.6447	38.7833	127.847	5.87281	39.3263	6	8	t-test	E
YBR089W	YBR089W	3.11424e-05	0.000960667	-36.315	4.58383	69.3215	4.58383	3.65274	8	8	t-test	E
YGL130W	CEG1	1.41531e-09	6.66881e-07	-36.3146	0	61.5514	0	1.51329	8	8	t-test	E
