R package version: 0.0-43
Treatment: 33
Medium: SDM_rhlk_CTGNH
Screen ID: QFA0132
Screen name: lyp1_HLN
Libraries: SDLV4_384
Client: DAL
User: AAB
PI: DAL
Date: 2014/07/18
Fitness definition: nAUC
Condition: SDM_rhlk_CTGNH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.214959160654729	0.170776681888615	0.00999093509678117	8	0.0353393107897939
EFB1	YAL003W	0.224881793969909	0.183969059545718	0.0115258777802362	8	0.0379570115068287
YAL004W	YAL004W	0.287832824067469	0.24720949727544	0.00707197577607717	8	0.0297320865734251
SSA1	YAL005C	0.261494856121713	0.207593242451891	0.0107004165682481	8	0.0365725589893709
ERP2	YAL007C	0.309280530341127	0.26441343533887	0.00639287622382337	8	0.0282685253944722
FUN14	YAL008W	0.279016687094258	0.230029497054691	0.0108577686034725	8	0.0368404814766862
MDM10	YAL010C	0.12141380914021	0.0966287020190556	0.00413872297451617	8	0.0227451175379359
SWC3	YAL011W	0.302862005568709	0.265129291443302	0.00725308635870326	8	0.0301103934686664
DEP1	YAL013W	0.194714845993619	0.158401826268946	0.00979220767720843	8	0.0349860823707236
SYN8	YAL014C	0.322511984918766	0.278836352136756	0.00818392290510088	8	0.031984220533532
NTG1	YAL015C	0.301308857498794	0.254983579434841	0.00895813531468188	8	0.0334629184969756
PSK1	YAL017W	0.317615575898169	0.281158382357652	0.00629257525324649	8	0.0280458893004984
LDS1	YAL018C	0.32067815584685	0.278605528840064	0.0105587865123605	8	0.0363297166799449
FUN30	YAL019W	0.260728325480285	0.216316456941247	0.00956974114137847	8	0.0345863794386216
ATS1	YAL020C	0.23821024823753	0.211449988412465	0.00671963056929576	8	0.0289819568207871
FUN26	YAL022C	0.34722165547086	0.302256527172801	0.00733036313708299	8	0.0302703715229162
PMT2	YAL023C	0.2742386510475	0.243965990479063	0.00526109256494334	8	0.0256444257221314
LTE1	YAL024C	0.263747153414537	0.227534006236631	0.00801006248606943	8	0.0316426580861766
MAK16	YAL025C	0.262177637977118	0.23363927761405	0.0103081134642848	8	0.0358958797501273
DRS2	YAL026C	0.215797230636299	0.178160001595075	0.00926862052337761	8	0.0340378842677127
SAW1	YAL027W	0.255701447614848	0.21439987888884	0.0131235048765012	8	0.0405023222736999
FRT2	YAL028W	0.252382725496947	0.225047681924501	0.00599629982993726	8	0.0273776821287369
MYO4	YAL029C	0.21813650984576	0.183506780689456	0.010414983169765	8	0.03608147580436
SNC1	YAL030W	0.17691184644126	0.143077957762289	0.00738507258845045	8	0.0303831215242329
GIP4	YAL031C	0.29991846931558	0.258051323936161	0.010631745697892	8	0.0364550162835857
PRP45	YAL032C	0.258953926825185	0.22077544614791	0.0168869736312462	8	0.0459442238361448
POP5	YAL033W	0.178143358769462	0.167465303637387	0.00610819100921591	8	0.0276319358017492
FUN19	YAL034C	0.271416296207168	0.232738319287077	0.00668441747082605	8	0.0289059195296267
MTW1	YAL034W-A	0.256217636414462	0.234550322280519	0.00658267433378825	8	0.0286850883164673
RBG1	YAL036C	0.295166205777368	0.250936751575071	0.00678677784110301	8	0.029126400912881
YAL037W	YAL037W	0.329558992872777	0.281752367195614	0.0100658018016576	8	0.0354714705814011
CDC19	YAL038W	0.259739231466384	0.233540293323128	0.00656162396446151	8	0.0286391863634023
CLN3	YAL040C	0.233299153142438	0.20433694635892	0.00570920435003572	8	0.0267142385958212
CDC24	YAL041W	0.299978315825495	0.258231834704805	0.0198200740166756	8	0.0497745843989124
ERV46	YAL042W	0.27365694561049	0.22881279664973	0.0071632391761841	8	0.0299233169455362
PTA1	YAL043C	0.262725713852717	0.237530160170586	0.00792081194090683	8	0.0314658782272695
YAL043C-A	YAL043C-A	0.176622985334683	0.146114815615803	0.00428571690909496	8	0.0231455095782502
YAL045C	YAL045C	0.266272049325226	0.225241743591091	0.007429307687203	8	0.0304739800633323
AIM1	YAL046C	0.272848487081067	0.229357657189914	0.0118678903008245	8	0.0385160523366954
GEM1	YAL048C	0.00924486042143323	0.0846783702470875	0.0208947640823981	8	0.0511062179220862
AIM2	YAL049C	0.337545375038364	0.30077837778751	0.00506721875117474	8	0.0251674858477529
OAF1	YAL051W	0.168685931092176	0.144137252886672	0.00643348749900128	8	0.0283581723207819
FLC2	YAL053W	0.271166159090657	0.230775288516629	0.00758243567812495	8	0.0307864330471333
ACS1	YAL054C	0.207171368233087	0.196754343685032	0.00695567337435747	8	0.0294865930855819
PEX22	YAL055W	0.197788950597463	0.176396184757347	0.0062982500074289	8	0.028058532586873
