R package version: 0.0-43
Treatment: UD_X3
Medium: SDM_rhlk_CTGH
Screen ID: QFA0140
Screen name: cdc13-1
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2009/11/16
Fitness definition: MDRMDP
Condition: SDM_rhlk_CTGH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	59.3075116840742	56.9919445920435	32.1842857960936	8	2.00575066359498
YAL004W	YAL004W	60.8354985405952	59.2119966983666	49.2557874733228	8	2.48132493522419
SSA1	YAL005C	59.3256984607634	56.8942993555251	42.3103620730579	8	2.29973808489842
ERP2	YAL007C	60.026149155818	59.6529946416886	29.3952561193536	8	1.91687428250243
FUN14	YAL008W	62.1696067619443	60.6430844154342	34.7022485372511	8	2.08273403658662
MDM10	YAL010C	31.4468778039248	28.3668745330969	197.795168978262	8	4.97236323314003
SWC3	YAL011W	51.657754236138	48.7130916239684	50.877386613463	8	2.52183927455397
DEP1	YAL013W	43.3901602769329	43.5136517877398	27.6663127884	8	1.85964757374886
SYN8	YAL014C	61.2906986152364	60.0434550506952	26.8014847072453	8	1.83035121995907
NTG1	YAL015C	60.5407617294106	60.2715382341003	24.2797661928581	8	1.74211675099784
PSK1	YAL017W	61.63280907843	59.2498746066624	41.772122093095	8	2.28506351369866
LDS1	YAL018C	63.5469363564057	62.0716893126951	32.4891365136779	8	2.01522754650926
FUN30	YAL019W	64.4053936345506	64.1364555960522	34.4002224216319	8	2.07365083914915
ATS1	YAL020C	59.0613238721	57.5657007608458	20.6541576674747	8	1.60678863215867
FUN26	YAL022C	60.7796556987695	59.2491700350188	36.3494372163016	8	2.13159087351154
PMT2	YAL023C	60.6882877664267	59.9287458983364	23.6820434194676	8	1.72053928389719
LTE1	YAL024C	37.8838448711839	36.3702827514587	74.2664937477739	8	3.0468527562834
DRS2	YAL026C	48.2952906949501	41.9757947380093	309.429183794682	8	6.21921602570092
SAW1	YAL027W	62.2470653181708	61.8785020450034	22.0504752172146	8	1.66021366159655
FRT2	YAL028W	58.4321605859847	56.4775892145143	42.6474710699013	8	2.30888152223921
MYO4	YAL029C	58.9338443957603	57.5484498488993	38.1543171310459	8	2.18387033529483
SNC1	YAL030W	60.7888851512671	58.4936866731991	44.4023118393921	8	2.35590512965272
GIP4	YAL031C	62.812083945459	61.2449592321458	38.5715126579357	8	2.19577755755039
FUN19	YAL034C	62.4862138175974	62.145714685495	37.8494708935908	8	2.1751284701596
RBG1	YAL036C	60.2828664203567	59.0152684930477	53.9187818402943	8	2.59612167088463
YAL037W	YAL037W	60.8282805813056	60.5998509830171	21.772078146394	8	1.64969990249719
CLN3	YAL040C	58.47146639524	61.8601057826637	292.678375452989	8	6.04853675954967
ERV46	YAL042W	60.3856487575387	58.7175807096242	39.3470467060491	8	2.21774228400329
YAL043C-A	YAL043C-A	61.0575348896749	59.4127067412056	20.5584483095785	8	1.60306145817848
