R package version: 0.0-43
Treatment: UD_X3
Medium: SDM_rhlk_CTGH
Screen ID: QFA0140
Screen name: cdc13-1
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2009/11/16
Fitness definition: nAUC
Condition: SDM_rhlk_CTGH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.0292015477614018	0.0287462244390816	1.60856073577419e-05	8	0.00141799186165427
YAL004W	YAL004W	0.0337620469156689	0.0327336990468274	6.10531514321361e-05	8	0.00276254301849166
SSA1	YAL005C	0.0309861994738736	0.029305714899071	1.80883387401817e-05	8	0.00150367627583956
ERP2	YAL007C	0.0327140116829865	0.0339111784385233	5.96180073463488e-05	8	0.00272988111797814
FUN14	YAL008W	0.0362632262087563	0.0352171912028889	6.13417636686421e-05	8	0.0027690649068919
MDM10	YAL010C	0.0194953110700538	0.0201430945759924	1.8011353011941e-06	8	0.0004744912145122
SWC3	YAL011W	0.0247760072371669	0.0242903574903702	5.12906089769384e-06	8	0.000800707569723011
DEP1	YAL013W	0.0220788894782095	0.0221043554166663	3.92280122737555e-06	8	0.000700250064921057
SYN8	YAL014C	0.0377750304686711	0.0358091138907604	5.34592802562246e-05	8	0.0025850357893128
NTG1	YAL015C	0.0353370156095113	0.0351585864521864	4.97047215398128e-05	8	0.00249260710752349
PSK1	YAL017W	0.0323049375232308	0.0317784133490762	3.5886641553392e-05	8	0.00211797785497724
LDS1	YAL018C	0.0389862943591391	0.0379814555253885	5.34462543565049e-05	8	0.0025847208349381
FUN30	YAL019W	0.0428181633867759	0.0438588461557177	0.000153494010799561	8	0.00438026841071927
ATS1	YAL020C	0.0287928780799989	0.0285065093952695	2.58176327181432e-05	8	0.00179644206412784
FUN26	YAL022C	0.0355469238127822	0.0335353434864138	3.79685389002185e-05	8	0.00217854707604112
PMT2	YAL023C	0.033478259350194	0.0320885147898613	3.48998016095699e-05	8	0.00208865392087733
LTE1	YAL024C	0.0198342160451038	0.0194336854309529	2.24991159079819e-06	8	0.000530319666663206
DRS2	YAL026C	0.0226889803990065	0.0223722388685276	5.59454450150916e-06	8	0.000836252391738669
SAW1	YAL027W	0.0387225946604752	0.0381093013720671	5.10286496382055e-05	8	0.00252558531924299
FRT2	YAL028W	0.0301811964988218	0.02906947562614	3.4285212077154e-05	8	0.00207018151611018
MYO4	YAL029C	0.0290498486953704	0.0291951503494228	2.13362239525521e-05	8	0.00163310379157879
SNC1	YAL030W	0.0323690672351267	0.0314274048552436	3.63133360436375e-05	8	0.00213053209444371
GIP4	YAL031C	0.0380768254134737	0.0358054181698077	6.88471658558626e-05	8	0.00293358070146073
FUN19	YAL034C	0.0371290991341777	0.0355168728431406	4.81135130816109e-05	8	0.00245238437753982
RBG1	YAL036C	0.0320971053864814	0.0303546183152143	2.02794189351718e-05	8	0.00159214552315311
YAL037W	YAL037W	0.0320254282088307	0.0335931429941484	6.01600461052442e-05	8	0.00274226289096351
CLN3	YAL040C	0.0257910430524873	0.0321289991149598	0.000306119519641133	8	0.00618586614429552
ERV46	YAL042W	0.031487097886669	0.0316068627363081	3.78470306570005e-05	8	0.00217505835142993
YAL043C-A	YAL043C-A	0.0321629416807473	0.0321548822573129	4.76491415853124e-05	8	0.00244052098908492
YAL045C	YAL045C	0.0318267764701491	0.0310034039639427	3.31546942840004e-05	8	0.00203576442288887
AIM1	YAL046C	0.0256603612927082	0.0257059216638598	1.2882882349075e-05	8	0.00126899972168412
GEM1	YAL048C	0.0216933002963933	0.0222310827297634	5.75541406365448e-06	8	0.000848190284049994
AIM2	YAL049C	0.0354984000829651	0.0341297424161081	4.16367162726732e-05	8	0.00228135695016895
OAF1	YAL051W	0.0313795497154742	0.0328922027231157	7.56030735591219e-05	8	0.00307414771845633
