R package version: 0.0-43
Treatment: UD_X3
Medium: SDM_rhk_CTGN
Screen ID: QFA0141
Screen name: ura3
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2010/01/18
Fitness definition: nAUC7200
Condition: SDM_rhk_CTGN
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	0.297555089625031	0.288925839180831	0.0066117444133555	8	0.0287483573734124
YAL004W	YAL004W	0.468302822290019	0.493024878992356	0.0088591299998729	8	0.0332774886369767
SSA1	YAL005C	0.337129069037391	0.375016472926666	0.00524208153122547	8	0.0255980505391169
ERP2	YAL007C	0.469137693033703	0.471055400031615	0.00285130269185269	8	0.0188788992391396
FUN14	YAL008W	0.432523119720892	0.436067398378249	0.00489151810347638	8	0.0247273080405965
MDM10	YAL010C	0.0200866617408337	0.0692701901592585	0.00835265604078075	8	0.0323122578149159
SWC3	YAL011W	0.340617224485825	0.345984004459514	0.00186591845344199	8	0.0152721906313485
DEP1	YAL013W	0.232598957810062	0.240720660764495	0.001338327565024	8	0.0129341001089369
SYN8	YAL014C	0.475582437441477	0.472895324789496	0.00226788192619403	8	0.0168370199493335
NTG1	YAL015C	0.412969514341967	0.409799974822939	0.00300432380148933	8	0.0193788667157336
PSK1	YAL017W	0.46991813071937	0.473699769685933	0.00252062080101035	8	0.0177504253505738
LDS1	YAL018C	0.431849351793205	0.445054013083368	0.00205153186077869	8	0.0160137903882041
FUN30	YAL019W	0.441039368724899	0.428194672102535	0.00360303778040525	8	0.0212221516946481
ATS1	YAL020C	0.32025745456216	0.338317606831567	0.00795267326512823	8	0.0315291001796916
FUN26	YAL022C	0.447017863715273	0.462360634581922	0.00377139551216654	8	0.0217123107710998
PMT2	YAL023C	0.4389781777693	0.431886071167518	0.00239686465779671	8	0.0173091906865858
LTE1	YAL024C	0.3715562717621	0.367220654868519	0.00331257185808857	8	0.0203487464542922
DRS2	YAL026C	0.13042152757645	0.119687222881027	0.0040261259548765	8	0.0224335851873828
SAW1	YAL027W	0.454371620292837	0.449104219881939	0.00214081260820253	8	0.0163585322087685
FRT2	YAL028W	0.445032668199963	0.43241409360058	0.00482562606798157	8	0.0245601966298663
MYO4	YAL029C	0.432629002529103	0.442947991444708	0.00269597141130822	8	0.0183574624175981
SNC1	YAL030W	0.435620383003586	0.442131551926172	0.00195165149393677	8	0.0156191048636629
GIP4	YAL031C	0.474192761138255	0.472239993049276	0.00164675861205783	8	0.0143472933512642
FUN19	YAL034C	0.474876605991064	0.473531379539708	0.0027184102560982	8	0.0184336996290022
RBG1	YAL036C	0.422486117903751	0.43135599176488	0.00329407202392801	8	0.0202918457265721
YAL037W	YAL037W	0.441026327949559	0.457025735611593	0.00400758883754705	8	0.0223818811696734
CLN3	YAL040C	0.446065269508475	0.444115632349037	0.00219735643524292	8	0.0165731576473937
ERV46	YAL042W	0.440186940959676	0.438625702377639	0.012900112922179	8	0.0401561217658327
YAL043C-A	YAL043C-A	0.413458182041219	0.418829012876279	0.00559920001703336	8	0.0264556232610228
YAL045C	YAL045C	0.460127502232069	0.445450731057164	0.00452404982605336	8	0.0237803748552597
AIM1	YAL046C	0.446764142456637	0.441475043486384	0.00168009352703938	8	0.0144917801142552
GEM1	YAL048C	0.271063535211956	0.259284425162434	0.000622686825626978	8	0.00882246298962893
AIM2	YAL049C	0.453610998125779	0.465157288659644	0.00260131495766527	8	0.0180323145965281
OAF1	YAL051W	0.516061340788779	0.54277004169055	0.0152262059962679	8	0.043626548677766
FLC2	YAL053W	0.475634792580587	0.468060371965282	0.00801529109707783	8	0.0316529838583147
ACS1	YAL054C	0.554524102834171	0.579304809379035	0.00880355949306348	8	0.0331729548975206
PEX22	YAL055W	0.357814752093337	0.361288394084176	0.00968444971447222	8	0.0347930483618355
GPB2	YAL056W	0.546142771613444	0.526671438359142	0.00584371690874973	8	0.0270271088648734
YAL058C-A	YAL058C-A	0.37396813577111	0.358134456199892	0.00172761946219168	8	0.0146953200977032
CNE1	YAL058W	0.441069293016688	0.435200838445247	0.0048799781733006	8	0.0246981228368185
ECM1	YAL059W	0.415760427838045	0.427198698505537	0.00519314545677425	8	0.0254782884451994
BDH1	YAL060W	0.50332206355555	0.492666732354809	0.00955045009723532	8	0.0345515015904434
BDH2	YAL061W	0.49142553123739	0.49638711701727	0.00484961487759142	8	0.0246211669036812
GDH3	YAL062W	0.437742573636864	0.4420289754627	0.00184910168027696	8	0.0152032138061207
TDA8	YAL064C-A	0.496210346397534	0.494612546389388	0.00301348432394215	8	0.019408388405346
YAL065C	YAL065C	0.478671277155417	0.487375296449327	0.00446172459939611	8	0.02361600251788
YAL066W	YAL066W	0.487578823927822	0.470185436098222	0.00237630819427414	8	0.0172348056062222
SEO1	YAL067C	0.44617029190857	0.474969663183532	0.00557087788176895	8	0.0263886288999849
PAU8	YAL068C	0.453608942774801	0.462230127737884	0.00337510586993022	8	0.020539918055856
ERP1	YAR002C-A	0.464246735203616	0.466141998346197	0.0033118749704373	8	0.0203466058915157
NUP60	YAR002W	0.353792029051838	0.388392102512117	0.00632041321380902	8	0.0281078574730648
SWD1	YAR003W	0.0887271237689245	0.100944392953989	0.00428546209070028	8	0.0231448214799236
BUD14	YAR014C	0.316404332176579	0.305923743981821	0.00259926094964668	8	0.0180251939991179
ADE1	YAR015W	0.387978302026045	0.396016505628692	0.00386508638347141	8	0.0219803502686815
KIN3	YAR018C	0.42130006832494	0.407038339865059	0.0122725655627679	8	0.0391672145466841
PAU7	YAR020C	0.461776965149618	0.431511281908846	0.00316274977109954	8	0.019883252283956
YAR023C	YAR023C	0.45994488566317	0.48149038225097	0.00348117265815939	8	0.0208601673595857
UIP3	YAR027W	0.500766271489111	0.512472459925741	0.00292329838188463	8	0.0191157604540227
YAR028W	YAR028W	0.473140837730997	0.495088627129028	0.00578892188118644	8	0.0269000973074133
YAR029W	YAR029W	0.45549064124832	0.457780344658029	0.00120746853491428	8	0.0122855023041097
YAR030C	YAR030C	0.503308052139293	0.492321566216481	0.00330338866247993	8	0.0203205212238759
PRM9	YAR031W	0.48560298456347	0.502127657628296	0.00456039206655696	8	0.0238756991168765
YAT1	YAR035W	0.540767923103415	0.515638607364225	0.00310468094861536	8	0.0196998761056236
YAR037W	YAR037W	0.488002008239216	0.489211012111905	0.00213983418566731	8	0.0163547935850139
YAR040C	YAR040C	0.39741951432721	0.420924034801901	0.00483411402398584	8	0.0245817870179983
SWH1	YAR042W	0.459340561698922	0.460750113827888	0.00440475631798017	8	0.0234647510054448
YAR043C	YAR043C	0.448802336969106	0.436274908669315	0.00300801405449349	8	0.0193907647299349
OSH1	YAR044W	0.435589898250662	0.438181354498336	0.00483319628621113	8	0.0245794535288397
YAR047C	YAR047C	0.496999752225583	0.492247376747938	0.00308878953928507	8	0.0196493941995837
FLO1	YAR050W	0.539759240614438	0.561813241297703	0.00381541863953553	8	0.0218386659377797
ECM15	YBL001C	0.472013994633954	0.472774011439024	0.00399172520757711	8	0.0223375390530635
HTA2	YBL003C	0.459514422129212	0.451032399839809	0.00084532441477669	8	0.0102793750708439
PDR3	YBL005W	0.486454837965086	0.494735805622682	0.00188100285739441	8	0.0153337978718353
SLA1	YBL007C	0.192981815051944	0.21748502487344	0.00593386792794074	8	0.0272347845776792
HIR1	YBL008W	0.31230309803944	0.330186667863651	0.0106261387177171	8	0.0364454021752352
ALK2	YBL009W	0.406333828905288	0.369577295598287	0.0245681033962599	8	0.055416720622322
YBL010C	YBL010C	0.471901268306866	0.492988178937052	0.00700338706518154	8	0.0295875545313852
SCT1	YBL011W	0.358744893609078	0.366548399115166	0.00310256215634125	8	0.0196931528593736
FMT1	YBL013W	0.428643840216409	0.416955378559284	0.00549195953925792	8	0.0262010484982422
ACH1	YBL015W	0.452328066638503	0.456031655028356	0.00098305422958633	8	0.0110852053972081
FUS3	YBL016W	0.383219292592806	0.337824895374639	0.0194652337074552	8	0.0493270130195606
PEP1	YBL017C	0.456500493678711	0.435844413567713	0.00266099724323487	8	0.0182380003126538
APN2	YBL019W	0.490807802212987	0.493346365727495	0.00102073185552932	8	0.0112956399527059
HAP3	YBL021C	0.265889363370381	0.274178482799521	0.00176084326991677	8	0.0148359498765531
NCL1	YBL024W	0.503306137225554	0.50025669457344	0.00310410854187085	8	0.019698059999245
RRN10	YBL025W	0.412535399583781	0.335881938351215	0.0680204645063989	8	0.0922093165753866
RPL19B	YBL027W	0.376550578604461	0.36044136363236	0.0173687464693521	8	0.0465949923132197
YBL028C	YBL028C	0.510358273588977	0.493776847683632	0.00389095929439387	8	0.0220537958591992
YBL029W	YBL029W	0.558405133571179	0.556267246990132	0.0038195414753272	8	0.0218504618810656
SHE1	YBL031W	0.28748791650093	0.294947787320396	0.014665710047716	8	0.0428160455432832
HEK2	YBL032W	0.413598862465151	0.426376092659106	0.00160802683681154	8	0.0141775651859352
YBL036C	YBL036C	0.56394797056752	0.580680709494431	0.0036529969937551	8	0.0213687768536102
APL3	YBL037W	0.492708903864068	0.481250178497448	0.00353940552205849	8	0.0210339176155397
URA7	YBL039C	0.407328269336482	0.405222301930486	0.00480866336240407	8	0.0245169924807369
FUI1	YBL042C	0.482833241988118	0.46793958372442	0.00292751170536315	8	0.0191295311800994
ECM13	YBL043W	0.509207650223902	0.518337970513836	0.00187463686970566	8	0.0153078283473917
PSY4	YBL046W	0.502480116943834	0.502203133334477	0.00161397685160602	8	0.0142037708532189
EDE1	YBL047C	0.441226081924528	0.435956802465299	0.00454354788811289	8	0.0238315649090468
RRT1	YBL048W	0.525052591194805	0.524159585489183	0.00194775116233024	8	0.0156034898433421
MOH1	YBL049W	0.509442304371309	0.514225864324162	0.00327549504733236	8	0.0202345467188308
PIN4	YBL051C	0.332799491649991	0.33969877201203	0.0059809830547999	8	0.0273426933905566
SAS3	YBL052C	0.397870351731541	0.403092097368302	0.00425650678441527	8	0.0230664983916482
YBL053W	YBL053W	0.433504648974449	0.488014250125867	0.0191343094463559	8	0.0489059166235997
TOD6	YBL054W	0.49118766856239	0.497717741895635	0.00185272390405688	8	0.0152180973845981
YBL055C	YBL055C	0.48914015227354	0.4773679813476	0.00520550482795549	8	0.0255085888181694
PTC3	YBL056W	0.498986525505707	0.485412192641435	0.00966852307309363	8	0.0347644269927854
PTH2	YBL057C	0.502364545169446	0.493381275473133	0.00253165256557338	8	0.0177892262534567
YBL059W	YBL059W	0.48669354858955	0.503746727220048	0.00321886619295497	8	0.0200588702104424
YBL060W	YBL060W	0.465894512755821	0.463294404437999	0.00113379660419486	8	0.0119048131242938
SKT5	YBL061C	0.395869507940898	0.435830383027604	0.00761966176879098	8	0.0308619137627412
YBL062W	YBL062W	0.488282423544507	0.486782569931047	0.00421156313921941	8	0.0229443978435353
KIP1	YBL063W	0.507622441512764	0.517922488154731	0.00604442985557761	8	0.0274873376656817
PRX1	YBL064C	0.416394342689978	0.429052395753369	0.00317773826018907	8	0.0199303106479461
YBL065W	YBL065W	0.536007879096545	0.532402385026458	0.00662546982173132	8	0.0287781814525591
SEF1	YBL066C	0.458647065014864	0.448765256971411	0.00327326563623904	8	0.0202276593932635
UBP13	YBL067C	0.40764690570236	0.403709068858667	0.00222905769209852	8	0.0166922799974214
PRS4	YBL068W	0.507670375626993	0.505958791253008	0.00300416861170753	8	0.0193783661969589
AST1	YBL069W	0.47933689122991	0.46650895313633	0.00166998265810208	8	0.0144481082589645
YBL070C	YBL070C	0.478255869271625	0.493827256246724	0.00828002514247774	8	0.0321714647290066
YBL071C	YBL071C	0.445112752555406	0.450530885495163	0.00212226616197668	8	0.01628751884871
RPS8A	YBL072C	0.0908884569701421	0.131901639708457	0.0142838735554597	8	0.0422549901719603
SSA3	YBL075C	0.485108302740088	0.487282351811742	0.00317817846139033	8	0.0199316910389909
ATG8	YBL078C	0.458330288661384	0.448162750419864	0.00202060735002508	8	0.0158926372497812
NUP170	YBL079W	0.229006050369676	0.230119620199929	0.00280754645185747	8	0.018733480896037
YBL081W	YBL081W	0.375391812481901	0.36887777344521	0.00240567252080209	8	0.0173409649414403
ALG3	YBL082C	0.486097982971175	0.479911705704749	0.00218533215509205	8	0.0165277499795497
YBL083C	YBL083C	0.502448099832169	0.49037983430052	0.00459433583156334	8	0.0239643898095782
BOI1	YBL085W	0.478766511286991	0.461545260196631	0.00784957182437607	8	0.0313240559003301
YBL086C	YBL086C	0.527532327376053	0.522485333783917	0.00873347754428402	8	0.0330406521278788
RPL23A	YBL087C	0.38260083325055	0.359921107352447	0.00371762889565031	8	0.021556985224198
