R package version: 0.0-43
Treatment: 27
Medium: SDM_rhk_CTGN
Screen ID: QFA0141
Screen name: ura3
Libraries: SDLV2_384 SDLV3_384
Client: DAL
User: SGA
PI: DAL
Date: 2010/01/18
Fitness definition: MDRMDP
Condition: SDM_rhk_CTGN
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	124.214086466612	125.858315634276	134.206661428269	8	4.09583113403539
YAL004W	YAL004W	145.502578726413	146.100528533914	41.895252946621	8	2.28842885367398
SSA1	YAL005C	128.689355328128	132.490335578078	186.920126499913	8	4.83373725108111
ERP2	YAL007C	137.824507336454	142.060495686082	156.226793008936	8	4.41908917381365
FUN14	YAL008W	136.652806588433	138.825103308736	71.1459935280627	8	2.98215512524212
MDM10	YAL010C	0	40.6703156618464	3230.16738091422	8	20.0940519212596
SWC3	YAL011W	127.851227127593	126.29885082031	78.1517592084253	8	3.12553513834882
DEP1	YAL013W	114.377176421219	116.914648869815	46.3618013495007	8	2.4073273912552
SYN8	YAL014C	140.388230392557	142.051690068707	91.5564282746884	8	3.38297997841194
NTG1	YAL015C	134.793305397744	137.466096960684	151.404411377112	8	4.35035072403812
PSK1	YAL017W	143.493635068714	143.970843140993	73.0456442523972	8	3.02170573212377
LDS1	YAL018C	148.387865861002	150.583995477401	156.762815930019	8	4.42666375403106
FUN30	YAL019W	140.687554850446	140.715089928849	90.12586551552	8	3.35644651222688
ATS1	YAL020C	128.37339240704	127.56672476469	91.5808646528514	8	3.38343140636934
FUN26	YAL022C	140.636309629379	142.172183536232	102.526826310033	8	3.57992364286644
PMT2	YAL023C	138.5874473022	140.756514425713	76.0695775704071	8	3.08361755026477
LTE1	YAL024C	128.045627024787	127.218077511164	54.9515979669802	8	2.62086812828737
DRS2	YAL026C	96.8477414300527	84.8374589603788	1308.7813238785	8	12.790530305066
SAW1	YAL027W	145.683902981204	143.959386295503	86.1723544973665	8	3.28200309447916
FRT2	YAL028W	135.696364520524	136.001523368015	41.706886936727	8	2.28327853471513
MYO4	YAL029C	138.403444563172	140.836616195678	128.118984869791	8	4.00185870674164
SNC1	YAL030W	141.190346368272	141.513515654025	59.0013677053019	8	2.71572659948728
GIP4	YAL031C	147.270322436745	146.721476189875	82.8636657418958	8	3.21837819681544
FUN19	YAL034C	144.606501872748	144.062886318199	41.2256417911787	8	2.2700672289378
RBG1	YAL036C	139.461624088604	140.530941977059	25.6059392897174	8	1.78906188020836
YAL037W	YAL037W	140.362391344347	143.370387297221	120.039521031539	8	3.87362106160919
